Species_name,Species_number,Lon,Lat,Year,CoordinateUncertaintyInMeters,Database,OriginalSource,geodeticDatum
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-89.868,40.473,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-88.56486,40.066638,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-90.756389,39.6330556,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-88.109444,39.3025,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
Amblyomma americanum,1,-90.6583,39.1733,2018,10,UIUCVetMed,BlitzDrags,WGS84
